OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV10,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10000,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia sp. BBDEE660-10
ASV10001,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Boloceroididae,Bunodeopsis,Bunodeopsis medusoides
ASV10007,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV10008,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera abyssalis
ASV10010,Eukaryota,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca
ASV10015,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Unidentified,Encyrtidae sp. BIOUG18376-G10
ASV10016,Eukaryota,Mollusca,Gastropoda,Unidentified,Lymnaeidae,Galba,Galba cousini
ASV10017,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis turris
ASV10019,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10024,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,Phycodrys rubens
ASV10026,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium delphinoides
ASV10028,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula sp. BOLD:AAO6951
ASV10031,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. RS40
ASV10034,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora macrochlamydospora
ASV10035,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV10037,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10041,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hypoleria,Hypoleria adasa
ASV10042,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora sp. 'lagoariana'
ASV10045,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 3 PLG-2016
ASV10048,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion murarium
ASV10050,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Diphyes,Diphyes chamissonis
ASV10053,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Chondrophycus,Chondrophycus sp.
ASV10054,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV10057,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Paratrichocladius,Paratrichocladius bifenestrus
ASV10059,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus alpestris
ASV1006,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Xeniidae,Sympodium,Sympodium caeruleum
ASV10060,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. 19 LG-2014
ASV10061,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
ASV10063,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10066,Eukaryota,Arthropoda,Insecta,Lepidoptera,Unidentified,Unidentified,Lepidoptera sp. 011 PS-2011
ASV10069,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV1007,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit
ASV10073,Eukaryota,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus bovinus
ASV10075,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica
ASV10078,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta elegans
ASV10079,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV10080,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis guyunusae
ASV10086,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae
ASV10087,Eukaryota,Arthropoda,Insecta,Neuroptera,Sisyridae,Sisyra,Sisyra sp. CBCAD114-10
ASV10091,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10100,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV10101,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. RS39
ASV10103,Eukaryota,Unidentified,Dictyochophyceae,Florenciellales,Unidentified,Florenciella,Florenciella parvula
ASV10105,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV10107,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
ASV1011,Eukaryota,Arthropoda,Arachnida,Araneae,Lycosidae,Anoteropsis,Anoteropsis okatainae
ASV10116,Eukaryota,Unidentified,Phaeophyceae,Ectocarpales,Chordariaceae,Unidentified,Chordariaceae sp. 8 AP-2014
ASV10117,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. 19 LG-2014
ASV10119,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nolidae,Earias,Earias smaragdina
ASV10122,Eukaryota,Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium lyngbyanum
ASV10123,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10124,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10126,Eukaryota,Platyhelminthes,Rhabditophora,Polycladida,Notoplanidae,Notocomplana,Notocomplana hagiyai
ASV10127,Eukaryota,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Selachophidium,Selachophidium guentheri
ASV10128,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV1013,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea
ASV10131,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera
ASV10132,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV10134,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhynchobatidae,Rhynchobatus,Rhynchobatus cf. laevis KKB-2014
ASV10138,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10139,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV1014,Eukaryota,Unidentified,Unidentified,Himatismenida,Unidentified,Parvamoeba,Parvamoeba rugata
ASV10141,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Unidentified,Chalinidae sp. BIOUG00807-B02
ASV10144,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys compactiuscula
ASV10146,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S005
ASV1015,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium sp. RS-24
ASV10151,Eukaryota,Porifera,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites ectyoninus
ASV10152,Eukaryota,Unidentified,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii
ASV10155,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhynchobatidae,Rhynchobatus,Rhynchobatus cf. laevis KKB-2014
ASV10156,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis maritima
ASV1016,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV10163,Eukaryota,Unidentified,Phaeophyceae,Ectocarpales,Chordariaceae,Sauvageaugloia,Sauvageaugloia divaricata
ASV10165,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Ascogaster,Ascogaster sp. RK21
ASV10167,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium sp. NVA/RUS/2008
ASV10168,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia sp.
ASV10176,Eukaryota,Porifera,Demospongiae,Desmacellida,Desmacellidae,Desmacella,Desmacella cf. annexa BELUM<GBR> Mc4240
ASV10178,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV10179,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Boloceroididae,Bunodeopsis,Bunodeopsis medusoides
ASV10186,Eukaryota,Echinodermata,Echinoidea,Spatangoida,Brissidae,Metalia,Metalia spatagus
ASV1019,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV10190,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10192,Eukaryota,Arthropoda,Insecta,Lepidoptera,Geometridae,Dichromodes,Dichromodes atrosignata
ASV10195,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sinomuralis
ASV10196,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10199,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV102,Eukaryota,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Selachophidium,Selachophidium guentheri
ASV1020,Eukaryota,Echinodermata,Echinoidea,Spatangoida,Brissidae,Metalia,Metalia spatagus
ASV10201,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Unidentified,alpha proteobacterium HIMB5
ASV10207,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ASV10210,Eukaryota,Unidentified,Phaeophyceae,Ectocarpales,Chordariaceae,Unidentified,Chordariaceae sp. 7 AP-2014
ASV10214,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhynchobatidae,Rhynchobatus,Rhynchobatus cf. laevis KKB-2014
ASV10215,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Hydractiniidae,Hydractinia,Hydractinia symbiolongicarpus
