# Constructed from biom file
#OTU ID	S0706	S0709
dcdc3d8d58f50e2ce63f9d3179b7f9e7	14.0	0.0
42a99216d242c87175aa109b605f7e0f	6.0	0.0
de5b2c6c2bf4c9f0de711568a04ffa5c	8.0	0.0
5815faba3bb70e8bf387ffa6ebdd7db1	2.0	0.0
e33d59e86a7603d4649c591c93928220	12.0	0.0
75efb6e4c57813e5c76905a3fe90687c	17.0	0.0
edb74f57df93f1250b7d7511d1b1afc3	0.0	22.0
5947d80511ec1be5db521fbf1ac6e52a	9.0	0.0
052c02c90f2f8eb8fcb6b7e3744d0e76	15.0	0.0
9a8afd104719d56cc688c84bc7561fd7	12.0	0.0
4133650634707230eb25681116225bd8	12.0	0.0
cfde06d3c26c8747f4211b63f10fa018	0.0	32.0
c5c230a03731eca3a8b92f22cec5a519	24.0	0.0
6529e354b07834a6e157a878f423cf77	0.0	5.0
c2ecf6ba11cc3305ecc8d3beeb998089	15.0	0.0
7f0dcf4fb235cf3095a06415d4b1e40c	20.0	0.0
44e7c3d91ed417ffd923efa472d9c6d5	15.0	0.0
724b536d80302610d98f117e1023a06c	4.0	0.0
09345e213f7f46e46ab417d0810c0482	12.0	0.0
6c9384b01277bd2afb813ceb1da91574	32.0	0.0
76f2203b5a113e1b392810f548da6981	6.0	0.0
f863e525f7bcc3cd930b3ab9d81829f4	9.0	44.0
e57afa351b9318618f7d82b16ce28ae3	7.0	0.0
5b258aa0530d3773e4ba193ec063a77a	4.0	0.0
2b16190fec58d44318deee751a04460a	0.0	4.0
7fb604563e1ff28577be7ccfed1da80e	5.0	0.0
a35e6446ab2c908f125ac75d989f6375	8.0	0.0
7891e9f18f245e7236000dfb8d4c1c5c	0.0	4.0
7f2a20623f512452da1e593b28638a07	7.0	0.0
0f9d8f90615ec5c97485965efe2bfba6	0.0	47.0
6615c20d050c25d34e6fe1a0a087c4c7	5.0	0.0
4f509b3c8b11614ddf732f29b819448a	7.0	0.0
df8b28920521d49250b1137eb6c7e996	6.0	0.0
c4fa4a0d495c0045ee27e37c1be22302	15.0	0.0
bfbc2e3ba2477636a7790798e1c15675	9.0	0.0
678818cf3334bf09a7b8476dfed524a5	21.0	0.0
5eb5b61b73891ca4f3300b9b14edd099	4.0	0.0
126f6b75f58700aadeff9d2f73cc27dd	4.0	0.0
c961aec9c1e369058196fc903ca9cf56	0.0	15.0
d6c20f3fc41350ff9996ec9965dca7fe	13.0	0.0
cc7fe151c66d4d892f3f8bc3a360e600	4.0	0.0
53c61cb52a34fcc5c59998f43eb5b116	3.0	0.0
1fc18a47f442f6270235279d3522d013	3.0	0.0
8d51f204b18ab86e45381258f3f0fd23	7.0	0.0
38d1451e482b1eff7306efec006d7ff2	2.0	0.0
e97ff928b075109ed770465bb3f573a6	6.0	0.0
e2e917d19303bf17ec1c89bba7c1a319	7.0	0.0
8c9af3a604a549e7e430f106e84414a6	19.0	0.0
fb53db1252f744c7150c74a39b1dcede	4.0	0.0
910d49bf4425c71c4fe90a3f6819e747	3.0	0.0
629d4c9b5b07582e31976009a3bc6f48	0.0	4.0
10e258840bf5ea483f505936fdcb6cd1	4.0	0.0
f85f398b1fbe54a5f4183f4c5f31bf30	0.0	3.0
825ac12b2d056639d56f01f122f71aaa	4.0	0.0
18d05075dab66d4b296f95a89e7a08bb	223.0	0.0
49e0accf1a73df24abe797f7f41d0ac6	51.0	0.0
1c852cc000a837011350189f700a8e22	12.0	0.0
4bc34f7c41f1ee712ed63d28e228aa76	4.0	0.0
e00ae5b2da83319d00089889ebe71aa0	5.0	0.0
83f47bc55256984a4d9f9611a4519d34	2.0	0.0
ad7f5fa19fe15906a1e63aa04953d52d	31.0	0.0
64d47104626781d7f68cc0f16fec7359	0.0	82.0
db6c0801dcdbb66f97053d5056ddbe55	0.0	15.0
819c690ff8aea32b63029e78930184af	4.0	0.0
67a7a40ab7d70c28d59bad58a702f089	3.0	0.0
72b19b7be310ba8ef6c5b6c8b13fdf6f	8.0	0.0
3c96388b0cd83765d1ec90d4b0275ebc	7.0	0.0
