Feature ID	Taxon	Consensus
0053e144edf8069ad6c5c12741597f4b	k__Eukaryota;p__Arthropoda;c__Insecta	0.9
025532534d422881c0bb5310705145f9	Unassigned	1.0
025d83a799f7048e6364a4f7618105af	Unassigned	1.0
027683668c752c90d3aba9eb43628b4b	Unassigned	1.0
042f8491827fbff7d00add2d7974daba	Unassigned	1.0
0491225fda5f0f212284ec18dd30bcd1	k__Eukaryota;p__Arthropoda;c__Arachnida;o__Araneae	0.6
052c02c90f2f8eb8fcb6b7e3744d0e76	k__Eukaryota;p__Arthropoda;c__Malacostraca;o__Mysida;f__Mysidae;g__Boreomysis;s__Boreomysis arctica	1.0
0530fc35474c59d92f85bed5ffe75c01	Unassigned	1.0
07292ccc2dc07a3a401692ba1349b057	k__Eukaryota;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nepticulidae;g__Stigmella;s__Stigmella aladina	1.0
07f44cea747f1d12b68293bcb8caa28f	Unassigned	1.0
09345e213f7f46e46ab417d0810c0482	Unassigned	1.0
0d3cbc28663b1836f998a4fe6c66b582	Unassigned	1.0
0e0b085d2787f860812aba8f9c18f2d6	Unassigned	1.0
0f678c57a3833bf3d2aa05a01e05de9c	Unassigned	1.0
0f9d8f90615ec5c97485965efe2bfba6	Unassigned	1.0
10e258840bf5ea483f505936fdcb6cd1	Unassigned	1.0
126f6b75f58700aadeff9d2f73cc27dd	Unassigned	1.0
137544329022f68ffd59ec69711b7456	k__Eukaryota	1.0
13ad2246248543304e3da2cfef02859b	Unassigned	1.0
15efa077eaf302c8e07fcd8d479a29cc	k__Eukaryota;p__Arthropoda;c__Arachnida;o__Araneae	0.7
18466efb8d53ca7ce188c94ea0e48054	Unassigned	1.0
18a2e110004e455b097f83f0c05922c6	k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Pan	0.6
18a515e5d3c307290b7b54ba9cd73c9d	Unassigned	1.0
18d05075dab66d4b296f95a89e7a08bb	Unassigned	1.0
19570f3fa2dd4476941c84f8dae8e4b2	Unassigned	1.0
1c852cc000a837011350189f700a8e22	k__Eukaryota;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
1d444f722f52a5a1284a18765303a51d	Unassigned	1.0
1d921ad9bf8209ec9c4aee9d10fd6289	Unassigned	1.0
1fc18a47f442f6270235279d3522d013	Unassigned	1.0
1fc690db30fcb8c3383cf8f05e465fe2	Unassigned	1.0
2050d5d076ff7bba4e2c5d1892457d59	Unassigned	1.0
210656997f524ef2d6d78c70e96d656b	k__Eukaryota;p__Arthropoda;c__Malacostraca;o__Bathynellacea;f__Parabathynellidae;g__Iberobathynella;s__Iberobathynella parasturiensis	1.0
2230d03c98f0e6e02d3c2371a83c4a3f	Unassigned	1.0
226104305cb7e312cba07d7a1f6f0b05	Unassigned	1.0
22bac3e7f79f93b2a8474e072d730557	Unassigned	1.0
22ef651f15d327fa4a33006d0dac6980	Unassigned	1.0
236ee7ea497086715cf30fe5743afa6e	Unassigned	1.0
2381339827eb05caad11d918235ed327	Unassigned	1.0
2388b8b638b9e8b9705237a1cc98908f	Unassigned	1.0
23cd5408f4de5fc831e9cc59fe4a71c8	Unassigned	1.0
256a7f17f13e0a53f8cbf60599d5177d	k__Eukaryota;p__Arthropoda;c__Insecta	0.7
26f46841300f664d1f72607c85ef9a44	Unassigned	1.0
271a1a97b1435e7eff8ef016c020534b	Unassigned	1.0
278f33db1a0fafe3d644282c18df0c65	k__Eukaryota;p__Arthropoda;c__Insecta	0.9
28f6daa156a431de35a6ea352a5378a8	Unassigned	1.0
2aa3967e06cfc628feb7f0b7d378fd5a	Unassigned	1.0
2b16190fec58d44318deee751a04460a	Unassigned	1.0
2b5bc79b84ad97ec5110793d69ea0e36	k__Eukaryota;p__Arthropoda;c__Insecta;o__Diptera	0.6
2ca51f968fa1b04dd8e42d12bd05146b	Unassigned	1.0
2e95853df4c1f2fac57ad1a19f24d224	k__Eukaryota;p__Arthropoda;c__Insecta	0.6
3004c112ec48a955c653561ebf3d523e	Unassigned	1.0
30c9ab59c9fb5350a67cf3e39d875f2d	Unassigned	1.0
31224485c4726317a076f22f4c37981b	Unassigned	1.0
33b9e47f7c4c7a455b132a6b9f2c8ea2	k__Eukaryota;p__Arthropoda;c__Insecta	0.6
35b5b63ac71581ac5bca6bd7cd5b8b6f	Unassigned	1.0
3634dbbbe28b4e837fbe2f5333ee1d88	Unassigned	1.0
372f7e4a438de085a924e6eee65ca3ff	k__Eukaryota	1.0
38d1451e482b1eff7306efec006d7ff2	Unassigned	1.0
3905e223f18431062d533ba4bc844984	Unassigned	1.0
3976d27160117c4524102d8e41d409a6	k__Eukaryota;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
3a1ab7e5972b7b579bf0cf78c27bbc25	Unassigned	1.0
3a5ba741ca7c06a7e2fec5e026d48d5c	Unassigned	1.0
3bac8c04952c100184edba8596873b6a	k__Eukaryota;p__Chordata;c__Mammalia	1.0
3c055d2054dad01677447c4c48b90904	k__Eukaryota	1.0
3c5182b3dd3335bc8876b90f309cedc0	k__Eukaryota;p__Arthropoda	0.7
3c96388b0cd83765d1ec90d4b0275ebc	Unassigned	1.0
3e75b6898ed5c973ef228c8507807a22	Unassigned	1.0
3e9c29e709a3ab30b324bdc6cb2207ee	Unassigned	1.0
40ce3876ca3fb1cf298c132adb21481f	Unassigned	1.0
410aafec4cc92cafcc6600c80874f2f5	k__Eukaryota;p__Arthropoda;c__Insecta;o__Diptera	0.9
4133650634707230eb25681116225bd8	k__Eukaryota;p__Arthropoda;c__Insecta;o__Lepidoptera	1.0
418872cbfa7d37a60c6d526e52110c69	k__Eukaryota;p__Cnidaria;c__Hydrozoa;o__Leptothecata	0.667
42a99216d242c87175aa109b605f7e0f	Unassigned	1.0
432adcb37b0901d2dc10374b0228408d	k__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae	1.0
44be009b539b13f1f095f6f3d552148c	k__Eukaryota;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cerambycidae;g__Prionus;s__Prionus insularis	1.0
44bf754167b0f322a12514f38d0c6669	Unassigned	1.0
44e7c3d91ed417ffd923efa472d9c6d5	Unassigned	1.0
4651bb92e6e4b18c8e93e431fb7d511b	Unassigned	1.0
46e6bbb6b88e98ad94e4586dd4f8574a	Unassigned	1.0
47e38a1bf222c402cd9e4d8e73816191	Unassigned	1.0
489cc92bc70f33a061e98e6ce4edd95f	Unassigned	1.0
49629d55f2ce655767fd87e26ffd3f4b	Unassigned	1.0
49e0accf1a73df24abe797f7f41d0ac6	Unassigned	1.0
4a31229ca1fa402941ac68481e66351e	Unassigned	1.0
4af5e4299a6c201967709c1f186e9795	k__Eukaryota;p__Mollusca;c__Cephalopoda;o__Teuthida	1.0
